2026-02-27 01:06:49 | INFO | [TICK] Paused=True (use /startloop)
2026-02-27 01:07:09 | INFO | [CYCLE] tick() entered
2026-02-27 01:07:09 | INFO | [TICK] Tick running
2026-02-27 01:07:09 | INFO | [TICK] Paused=True (use /startloop)
2026-02-27 01:07:29 | INFO | [CYCLE] tick() entered
2026-02-27 01:07:29 | INFO | [TICK] Tick running
2026-02-27 01:07:29 | INFO | [TICK] Paused=True (use /startloop)
2026-02-27 01:07:49 | INFO | [CYCLE] tick() entered
2026-02-27 01:07:49 | INFO | [TICK] Tick running
2026-02-27 01:07:49 | INFO | [TICK] Paused=True (use /startloop)
2026-02-27 01:08:09 | INFO | [CYCLE] tick() entered
2026-02-27 01:08:09 | INFO | [TICK] Tick running
2026-02-27 01:08:09 | INFO | [TICK] Paused=True (use /startloop)
2026-02-27 01:08:29 | INFO | [CYCLE] tick() entered
2026-02-27 01:08:29 | INFO | [TICK] Tick running
2026-02-27 01:08:29 | INFO | [TICK] Paused=True (use /startloop)
2026-02-27 01:08:49 | INFO | [CYCLE] tick() entered
2026-02-27 01:08:49 | INFO | [TICK] Tick running
2026-02-27 01:08:49 | INFO | [TICK] Paused=True (use /startloop)
2026-02-27 01:12:07 | INFO | [BOT] Telegram bot started
2026-02-27 01:12:07 | INFO | [LOOP] Trading loop started
2026-02-27 01:12:07 | INFO | [CYCLE] tick() entered
2026-02-27 01:12:07 | INFO | [TICK] Tick running
2026-02-27 01:12:07 | INFO | [TICK] Paused=True (use /startloop)
2026-02-27 01:12:07 | INFO | [NIGHT] Night scheduler active
2026-02-27 01:12:07 | INFO | [NIGHT] Auto scheduler triggering night research
2026-02-27 01:12:07 | INFO | [NIGHT] Night research started
2026-02-27 01:12:14 | INFO | [NIGHT] Universe live updated: 8 | scored=8 | errors=0
2026-02-27 01:12:27 | INFO | [CYCLE] tick() entered
2026-02-27 01:12:27 | INFO | [TICK] Tick running
2026-02-27 01:12:27 | INFO | [TICK] Paused=True (use /startloop)
2026-02-27 01:12:47 | INFO | [CYCLE] tick() entered
2026-02-27 01:12:47 | INFO | [TICK] Tick running
2026-02-27 01:12:47 | INFO | [TICK] Paused=True (use /startloop)
2026-02-27 01:13:07 | INFO | [CYCLE] tick() entered
2026-02-27 01:13:07 | INFO | [TICK] Tick running
2026-02-27 01:13:07 | INFO | [TICK] Paused=True (use /startloop)
2026-02-27 01:13:27 | INFO | [CYCLE] tick() entered
2026-02-27 01:13:27 | INFO | [TICK] Tick running
2026-02-27 01:13:27 | INFO | [TICK] Paused=True (use /startloop)
2026-02-27 01:13:47 | INFO | [CYCLE] tick() entered
2026-02-27 01:13:47 | INFO | [TICK] Tick running
